title,price,link
Apple iPhone 16 Garansi Resmi - 128GB 256GB 512GB,"Rp15.099.000
Rp16,9jt",https://www.tokopedia.com/ismile-indonesia/apple-iphone-16-garansi-resmi-128gb-256gb-512gb-1731076606077207597?extParam=ivf%3Dfalse%26keyword%3Diphone&src=topads
Apple iPhone 11 | 11 Pro | 11 Pro Max 512GB 256GB 64GB Second iBox,Rp3.880.000,https://www.tokopedia.com/gudanggadget-1/apple-iphone-11-11-pro-11-pro-max-512gb-256gb-64gb-second-ibox-iphone-11-face-id-64gb-c5f3f?extParam=ivf%3Dfalse%26keyword%3Diphone&src=topads
Benks Prestige ArmorPro Case Built with Kevlar and Camera Control Botton for iPhone 16 series,Rp895.000,https://www.tokopedia.com/benks-id/benks-prestige-armorpro-case-built-with-kevlar-and-camera-control-botton-for-iphone-16-series-1730829948949792408?extParam=ivf%3Dtrue%26keyword%3Diphone%26search_id%3D20250426075743974731B8B0DFF83A7XG6%26src%3Dsearch
Tempered Glass bening IPHONE 4 5 6 7 8 6+ 7+ 8+ X XR XS MAX,Rp7.500,https://www.tokopedia.com/central168/tempered-glass-bening-iphone-4-5-6-7-8-6-7-8-x-xr-xs-max-iphone-7?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D20250426075743974731B8B0DFF83A7XG6%26src%3Dsearch
APPLE iPhone 16 Pro Max 256GB 512GB 1TB A18 PRO CPU 6C GPU 6C OLED Resmi iBOX,"Rp28.499.000
Rp31,9jt",https://www.tokopedia.com/collinsofficial/apple-iphone-16-pro-max-256gb-512gb-1tb-a18-pro-cpu-6c-gpu-6c-oled-resmi-ibox-1731116863342020416?extParam=ivf%3Dfalse%26keyword%3Diphone&src=topads
AMINO Tempered Glass Kamera Screen Protector Untuk Iphone 13 6.1 inch Full Screen Smartphone,"Rp28.900
Rp80.000",https://www.tokopedia.com/amino-shop-indonesia/amino-tempered-glass-kamera-screen-protector-untuk-iphone-13-6-1-inch-full-screen-smartphone-1730695736555177263?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D20250426075743974731B8B0DFF83A7XG6%26src%3Dsearch
Case Magsafe Hybrid Matte Doff Casing iPHONE 13 13PRO 13PROMAX PRO MAX,"Rp160.000
Rp270.000",https://www.tokopedia.com/central168/case-magsafe-hybrid-matte-doff-casing-iphone-13-13pro-13promax-pro-max-black-ip-13pro?extParam=ivf%3Dtrue%26keyword%3Diphone%26search_id%3D20250426075743974731B8B0DFF83A7XG6%26src%3Dsearch
Second iPhone 11 128GB Purple,Rp4.149.000,https://www.tokopedia.com/hokihp/second-iphone-11-128gb-purple-1731132306137449909?extParam=ivf%3Dfalse%26keyword%3Diphone&src=topads
AMINO Back Tempered Glass Untuk Iphone 15 Clear Anti Gores Belakang Protector 9H Glass,"Rp24.900
Rp80.000",https://www.tokopedia.com/amino-shop-indonesia/amino-back-tempered-glass-untuk-iphone-15-clear-anti-gores-belakang-protector-9h-glass-1729869803071834415?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D20250426075743974731B8B0DFF83A7XG6%26src%3Dsearch
Anker Adaptor Kepala Charger 25W GaN Charger PPS USB-C Fast Charging for Samsung Iphone - A2656,"Rp154.000
Rp399.000",https://www.tokopedia.com/ankerflagshipstore/anker-adaptor-kepala-charger-25w-gan-charger-pps-usb-c-fast-charging-for-samsung-iphone-a2656-25w-gan-white-c9307?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D20250426075743974731B8B0DFF83A7XG6%26src%3Dsearch
CASELIFY MAGNETIC HEAT COOLING COMPATIBLE WITH IPHONE 11 12 13 14 15 16 PRO PLUS MAX Casing Cover Softcase,"Rp57.000
Rp225.000",https://www.tokopedia.com/caselify/caselify-magnetic-heat-cooling-compatible-with-iphone-11-12-13-14-15-16-pro-plus-max-casing-cover-softcase-1729780218866861376?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D20250426075743974731B8B0DFF83A7XG6%26src%3Dsearch
CASING PREMIUM LYQUID CRYSTAL CASE CLEAR iPhone X XS XR XSMAX MAX,"Rp69.990
Rp120.000",https://www.tokopedia.com/gcaseofficial/casing-premium-lyquid-crystal-case-clear-iphone-x-xs-xr-xsmax-max-iphone-x?extParam=ivf%3Dtrue%26keyword%3Diphone%26search_id%3D20250426075743974731B8B0DFF83A7XG6%26src%3Dsearch
Tempered Glass Full 5D IPHONE 13 13PRO 13MINI 13PROMAX PRO MAX MINI,Rp15.000,https://www.tokopedia.com/central168/tempered-glass-full-5d-iphone-13-13pro-13mini-13promax-pro-max-mini-ip-13mini?extParam=ivf%3Dfalse%26keyword%3Diphone%26search_id%3D20250426075743974731B8B0DFF83A7XG6%26src%3Dsearch
